time,minor,rssi
45479,116,-85
45479,114,-94
45480,116,-84
45480,114,-96
45481,116,-86
45481,114,-89
45484,116,-92
45484,114,-87
45485,113,-88
45485,114,-74
45486,114,-73
45487,112,-91
45487,114,-68
45488,112,-95
45488,114,-66
45489,112,-94
45489,114,-73
45490,114,-78
45490,113,-100
45492,113,-98
45493,112,-82
45495,114,-87
45495,112,-82
45496,114,-86
45496,112,-86
45497,114,-87
45497,113,-98
45497,112,-81
45498,113,-99
45498,112,-69
45498,110,-92
45499,112,-80
45500,114,-93
45500,113,-100
45500,112,-76
45500,110,-93
45501,114,-96
45501,108,-95
45501,112,-78
45501,110,-95
45502,114,-100
45502,109,-99
45502,112,-85
45502,110,-91
45505,112,-89
45505,110,-85
45506,110,-82
45507,109,-91
45507,108,-97
45508,108,-93
45508,110,-93
45509,110,-74
45510,110,-83
45511,109,-100
45511,110,-82
45512,110,-80
45513,110,-79
45515,108,-87
45515,110,-92
45516,108,-92
45516,110,-88
45517,108,-88
45517,110,-90
45518,108,-88
45518,110,-86
45519,108,-86
45519,107,-91
45519,110,-88
45520,114,-99
45520,108,-84
45520,107,-90
45520,110,-95
45521,108,-73
45521,110,-96
45522,106,-94
45522,108,-64
45522,110,-93
45523,108,-79
45524,108,-79
45525,108,-78
45526,108,-81
45527,108,-83
45528,106,-88
45528,108,-89
45529,106,-82
45529,108,-86
45530,106,-84
45530,108,-96
45531,106,-84
45531,108,-93
45532,106,-73
45532,110,-101
45533,106,-67
45533,108,-88
45534,106,-63
45535,106,-76
45535,104,-93
45535,108,-95
45536,106,-76
45537,106,-82
45538,106,-84
45539,106,-87
45539,104,-84
45540,106,-85
45540,104,-85
45541,106,-88
45541,104,-85
45542,104,-88
45543,106,-89
45543,104,-75
45544,106,-91
45544,104,-71
45544,103,-91
45545,106,-93
45545,104,-71
45545,108,-96
45545,102,-94
45546,104,-80
45546,101,-93
45547,106,-89
45547,104,-79
45547,103,-99
45547,102,-91
45548,104,-84
45550,104,-84
45552,104,-90
45552,102,-86
45553,102,-82
45554,102,-71
45555,102,-72
45556,104,-95
45556,102,-75
45556,101,-91
45557,102,-75
45557,101,-89
45558,102,-82
45558,101,-84
45559,102,-91
45559,101,-79
45560,102,-84
45562,101,-76
45563,101,-78
45564,101,-79
45566,103,-86
45566,101,-75
45567,101,-79
45568,101,-80
45569,103,-85
45569,101,-88
45570,101,-89
45570,105,-93
45570,104,-91
45570,103,-91
45571,101,-89
45571,103,-82
45572,101,-91
45572,103,-80
45573,103,-75
45574,103,-66
45575,106,-98
45575,103,-62
45576,103,-71
45577,105,-86
45577,103,-74
45578,103,-90
45579,105,-82
45579,103,-88
45581,105,-89
