time,minor,rssi,,
15:26:04,153,-68,,
15:26:04,151,-54,,
15:26:04,155,-71,,
15:26:05,153,-66,,
15:26:05,151,-55,,
15:26:05,155,-71,,
15:26:05,153,-67,,
15:26:05,151,-55,,
15:26:05,155,-72,,
15:26:06,147,-87,,
15:26:06,153,-63,,
15:26:06,151,-49,,
15:26:06,153,-62,,
15:26:06,151,-50,,
15:26:06,155,-69,,
15:26:06,147,-88,,
15:26:06,153,-63,,
15:26:06,152,-73,,
15:26:06,151,-55,,
15:26:06,155,-70,,
15:26:07,149,-75,,
15:26:07,153,-63,,
15:26:07,151,-58,,
15:26:07,155,-71,,
15:26:07,147,-85,,
15:26:07,153,-64,,
15:26:07,152,-75,,
15:26:07,151,-59,,
15:26:07,145,-79,,
15:26:07,155,-69,,
15:26:08,147,-85,,
15:26:08,153,-67,,
15:26:08,152,-80,,
15:26:08,151,-56,,
15:26:08,147,-84,,
15:26:08,153,-62,,
15:26:08,151,-54,,
15:26:08,145,-81,,
15:26:08,155,-76,,
15:26:08,147,-83,,
15:26:08,153,-65,,
15:26:08,152,-75,,
15:26:08,151,-57,,
15:26:08,145,-78,,
15:26:08,154,-82,,
15:26:09,147,-80,,
15:26:09,153,-63,,
15:26:09,152,-78,,
15:26:09,157,-80,,
15:26:09,155,-71,,
15:26:09,147,-79,,
15:26:09,153,-71,,
15:26:09,151,-66,,
15:26:09,155,-68,,
15:26:10,153,-67,,
15:26:10,155,-69,,
15:26:10,153,-68,,
15:26:10,151,-71,,
15:26:10,155,-68,,
15:26:10,153,-68,,
15:26:10,151,-67,,
15:26:10,155,-65,,
15:26:11,153,-65,,
15:26:11,153,-64,,
15:26:11,151,-69,,
15:26:11,155,-66,,
15:26:12,153,-64,,
15:26:12,151,-68,,
15:26:12,155,-72,,
15:26:12,153,-62,,
15:26:12,151,-67,,
15:26:12,155,-70,,
15:26:12,153,-61,,
15:26:12,155,-67,,
15:26:13,153,-64,,
15:26:13,155,-67,,
15:26:13,153,-63,,
15:26:14,153,-67,,
15:26:14,155,-75,,
15:26:14,153,-68,,
15:26:14,155,-63,,
15:26:14,153,-59,,
15:26:15,153,-64,,
15:26:15,155,-71,,
15:26:15,153,-60,,
15:26:15,155,-67,,
15:26:16,153,-58,,
15:26:16,157,-77,,
15:26:16,153,-61,,
15:26:16,155,-67,,
15:26:17,153,-54,,
15:26:17,157,-76,,
15:26:17,155,-70,,
15:26:17,153,-53,,
15:26:17,155,-68,,
15:26:17,153,-56,,
15:26:17,157,-74,,
15:26:18,153,-62,,
15:26:18,157,-78,,
15:26:18,155,-67,,
15:26:18,153,-63,,
15:26:18,157,-79,,
15:26:18,155,-65,,
15:26:18,143,-84,,
15:26:19,153,-63,,
15:26:19,157,-77,,
