20,0,11,22222,152605,"[3.6121373976462827, -7.063610597985793, 5.051210944258328, -5.051210944258328]"
20,0,5,11111,152605,"[6.922799979645605, False, False, False]"
20,0,11,22222,152605,"[3.6121373976462827, -7.063610597985793, 5.051210944258328, -5.051210944258328]"
20,0,6,11111,152605,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]"
20,0,12,11111,152605,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]"
20,0,4,22222,152605,"[7.521517979604354, False, False, False]"
20,0,12,22222,152605,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]"
20,0,5,11111,152605,"[6.922799979645605, False, False, False]"
20,0,14,22222,152606,"[2.0469073005465845, -3.7053601811394876, 2.7540023249679786, -2.7540023249679786]"
20,0,13,22222,152606,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]"
20,0,6,11111,152606,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]"
-20,20,10,11111,152606,"[11.432388371311342, -6.987943926866899, 6.987943926866899, -11.432388371311342]"
20,0,8,22222,152606,"[5.206749990304179, -12.740311850939136, 8.144668109036093, -8.144668109036093]"
20,0,7,11111,152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]"
20,0,13,11111,152606,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]"
20,0,14,11111,152606,"[2.0469073005465845, -3.7053601811394876, 2.7540023249679786, -2.7540023249679786]"
0,20,24,11111,152606,"[(1.6658355043840722e-16+2.7205158345147216j), (-1.6658355043840722e-16-2.7205158345147216j), (-0.0799396797077333+2.719341106491342j), (-0.07993967970773364-2.719341106491342j)]"
20,0,12,22222,152606,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]"
20,0,7,11111,152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]"
