152605,"[3.6121373976462827, -7.063610597985793, 5.051210944258328, -5.051210944258328]",151
152605,"[6.922799979645605, False, False, False]",153
152605,"[3.6121373976462827, -7.063610597985793, 5.051210944258328, -5.051210944258328]",151
152605,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",153
152605,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]",151
152605,"[7.521517979604354, False, False, False]",153
152605,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]",151
152605,"[6.922799979645605, False, False, False]",153
152606,"[2.0469073005465845, -3.7053601811394876, 2.7540023249679786, -2.7540023249679786]",151
152606,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]",151
152606,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",153
152606,"[11.432388371311342, -6.987943926866899, 6.987943926866899, -11.432388371311342]",153
152606,"[5.206749990304179, -12.740311850939136, 8.144668109036093, -8.144668109036093]",151
152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",153
152606,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]",151
152606,"[2.0469073005465845, -3.7053601811394876, 2.7540023249679786, -2.7540023249679786]",151
152606,"[(1.6658355043840722e-16+2.7205158345147216j), (-1.6658355043840722e-16-2.7205158345147216j), (-0.0799396797077333+2.719341106491342j), (-0.07993967970773364-2.719341106491342j)]",151
152606,"[3.097435164810822, -5.79123160775246, 4.2353234149727434, -4.2353234149727434]",151
152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",153
152606,"[9.663471215282286, -6.2119980149427745, 6.2119980149427745, -9.663471215282286]",153
152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",151
152606,"[5.206749990304179, -12.740311850939136, 8.144668109036093, -8.144668109036093]",153
152606,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]",151
152606,"[(1.618336445922396e-16+2.6429439852358163j), (-1.618336445922396e-16-2.6429439852358163j), (-0.10074235454529086+2.6410232651559227j), (-0.1007423545452912-2.6410232651559227j)]",151
152606,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",153
152606,"[11.432388371311342, -6.987943926866899, 6.987943926866899, -11.432388371311342]",153
152606,"[5.206749990304179, -12.740311850939136, 8.144668109036093, -8.144668109036093]",151
152606,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",153
152606,"[(9.793985390412945e-17+1.599479196325324j), (-9.793985390412945e-17-1.599479196325324j), (-0.3220833150261247+1.5667150467329043j), (-0.3220833150261249-1.5667150467329043j)]",151
152607,"[(0.40717670637133474+0.8310673873771595j), (0.40717670637133463-0.8310673873771595j), (5.666773929908973e-17+0.9254544140979101j), (-5.666773929908973e-17-0.9254544140979101j)]",151
152607,"[8.576961874590578, -4.132517430146136, 5.953523699830583, -5.953523699830583]",149
152607,"(20.0, False, 20.0, False)",149
152607,"[1.7691110002202886, -0.738467841967011, 1.1429923807850941, -1.1429923807850941]",151
152607,"[6.922799979645605, False, False, False]",151
152607,"[5.206749990304179, -12.740311850939136, 8.144668109036093, -8.144668109036093]",153
152607,"[8.1799110033873, -5.486114560445662, 5.486114560445662, -8.1799110033873]",153
152607,"[7.521517979604354, False, False, False]",151
152607,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",153
152607,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",151
152607,"[(5.666773929908973e-17+0.9254544140979101j), (-5.666773929908973e-17-0.9254544140979101j), (-0.40717670637133463+0.8310673873771595j), (-0.40717670637133474-0.8310673873771595j)]",151
152607,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",153
152607,"[6.3367140948667915, -19.754707337274137, 11.188383816444333, -11.188383816444333]",145
152607,"[9.663471215282286, -6.2119980149427745, 6.2119980149427745, -9.663471215282286]",153
152607,"[6.922799979645605, False, False, False]",151
152607,"[6.922799979645605, False, False, False]",153
152607,"[1.1429923807850941, -1.1429923807850941, 0.738467841967011, -1.7691110002202886]",151
152608,"[7.521517979604354, False, False, False]",145
152608,"[5.764509236178428, -15.73491623002671, 9.523868433492916, -9.523868433492916]",145
152608,"[6.913939849301111, -4.803414056429173, 4.803414056429173, -6.913939849301111]",153
152608,"[3.6121373976462827, -7.063610597985793, 5.051210944258328, -5.051210944258328]",151
152608,"[2.5805090586395703, -4.691034851511509, 3.4792611182145237, -3.4792611182145237]",151
152608,"[4.663178704573408, -10.424142755802587, 6.9720614248794295, -6.9720614248794295]",153
152608,"[16.25116620912486, -8.717604348489907, 8.717604348489907, -16.25116620912486]",153
152608,"[4.132517430146136, -8.576961874590578, 5.953523699830583, -5.953523699830583]",151
152608,"[2.015483270455749, -2.015483270455749, 1.4655521887201286, -2.7717694700688287]",153
